CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;QT_ACAO_ORDIN_CAP_INTEGR;QT_ACAO_PREF_CAP_INTEGR;QT_ACAO_TOTAL_CAP_INTEGR;QT_ACAO_ORDIN_TESOURO;QT_ACAO_PREF_TESOURO;QT_ACAO_TOTAL_TESOURO
01.083.200/0001-18;2025-06-30;1;NEOENERGIA S.A.;1213797248;0;1213797248;0;0;0
01.083.200/0001-18;2025-09-30;1;NEOENERGIA S.A.;1213797248;0;1213797248;0;0;0
01.104.937/0001-70;2025-03-31;1;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;11764889;0;11764889;0;0;0
01.107.327/0001-20;2025-03-31;1;BBM LOGÍSTICA S.A.;40760818;0;40760818;0;0;0
01.107.327/0001-20;2025-06-30;1;BBM LOGÍSTICA S.A.;40760818;0;40760818;0;0;0
01.107.327/0001-20;2025-09-30;1;BBM LOGÍSTICA S.A.;40760818;0;40760818;0;0;0
01.258.944/0001-26;2025-03-31;1;RUMO MALHA SUL S.A.;2767153548012;4209932146895;6977085694907;0;0;0
01.258.944/0001-26;2025-06-30;1;RUMO MALHA SUL S.A.;2773499242863;4219586452044;6993085694907;0;0;0
01.258.944/0001-26;2025-09-30;1;RUMO MALHA SUL S.A.;2773499242863;4219586452044;6993085694907;0;0;0
01.319.044/0001-41;2025-03-31;1;WTC AMAZONAS SUITE HOTEL S.A.;100;0;100;0;0;0
01.319.044/0001-41;2025-06-30;1;WTC AMAZONAS SUITE HOTEL S.A.;100;0;100;0;0;0
01.319.044/0001-41;2025-09-30;1;WTC AMAZONAS SUITE HOTEL S.A.;100;0;100;0;0;0
01.417.222/0001-77;2025-03-31;1;MRS LOGISTICA S.A.;187210;150767;337977;0;0;0
01.417.222/0001-77;2025-06-30;1;MRS LOGISTICA S.A.;187210;150767;337977;0;0;0
01.417.222/0001-77;2025-09-30;1;MRS LOGISTICA S.A.;187210;150767;337977;0;0;0
01.543.032/0001-04;2025-03-31;1;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;283067254;0;283067254;0;0;0
01.543.032/0001-04;2025-06-30;1;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;283067254;0;283067254;0;0;0
01.543.032/0001-04;2025-09-30;1;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;283067254;0;283067254;0;0;0
01.545.826/0001-07;2025-03-31;1;GAFISA S.A.;134576;0;134576;33;0;33
01.545.826/0001-07;2025-06-30;1;GAFISA S.A.;6729;0;6729;2;0;2
01.545.826/0001-07;2025-09-30;1;GAFISA S.A.;11162;0;11162;2;0;2
01.548.981/0001-79;2025-03-31;1;INVESTIMENTOS BEMGE S.A.;792;1572;2364;0;0;0
01.548.981/0001-79;2025-06-30;1;INVESTIMENTOS BEMGE S.A.;792;1572;2364;0;0;0
01.548.981/0001-79;2025-09-30;1;INVESTIMENTOS BEMGE S.A.;792;1572;2364;0;0;0
01.599.101/0001-93;2025-03-31;1;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;35361107;0;35361107;0;0;0
01.599.101/0001-93;2025-06-30;1;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;50311576;0;50311576;0;0;0
01.599.101/0001-93;2025-09-30;1;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;53801008;0;53801008;0;0;0
01.616.929/0001-02;2025-03-31;1;SANEAMENTO DE GOIAS SA;1866906374;648639993;2515546367;0;0;0
01.616.929/0001-02;2025-06-30;1;SANEAMENTO DE GOIAS SA;1866906374;648639993;2515546367;0;0;0
01.616.929/0001-02;2025-09-30;1;SANEAMENTO DE GOIAS SA;1866906374;648639993;2515546367;0;0;0
01.637.895/0001-32;2025-03-31;1;VOTORANTIM CIMENTOS S.A.;9225042782;300571428;9525614210;0;0;0
01.637.895/0001-32;2025-06-30;1;VOTORANTIM CIMENTOS S.A.;9225042782;300571428;9525614210;0;0;0
01.637.895/0001-32;2025-09-30;1;VOTORANTIM CIMENTOS S.A.;9225042782;300571428;9525614210;0;0;0
01.838.723/0001-27;2025-03-31;1;BRF S.A.;1682473246;0;1682473246;82673171;0;82673171
01.838.723/0001-27;2025-06-30;1;BRF S.A.;1682473246;0;1682473246;80772898;0;80772898
01.838.723/0001-27;2025-09-30;1;BRF S.A.;1592192459;0;1592192459;0;0;0
01.851.771/0001-55;2025-03-31;1;524 PARTICIPACOES S.A.;10116536859;0;10116536859;0;0;0
01.851.771/0001-55;2025-06-30;1;524 PARTICIPACOES S.A.;30116535949;0;30116535949;0;0;0
01.851.771/0001-55;2025-09-30;1;524 PARTICIPACOES S.A.;30116536859;0;30116536859;0;0;0
01.896.779/0001-38;2025-03-31;1;CSU DIGITAL S.A.;41800;0;41800;519;0;519
01.896.779/0001-38;2025-06-30;1;CSU DIGITAL S.A.;41800;0;41800;458;0;458
01.896.779/0001-38;2025-09-30;1;CSU DIGITAL S.A.;41800;0;41800;451;0;451
