CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;QT_ACAO_ORDIN_CAP_INTEGR;QT_ACAO_PREF_CAP_INTEGR;QT_ACAO_TOTAL_CAP_INTEGR;QT_ACAO_ORDIN_TESOURO;QT_ACAO_PREF_TESOURO;QT_ACAO_TOTAL_TESOURO
82.120.676/0001-83;2021-09-30;1;ALMEIDA JUNIOR SHOPPING CENTERS S.A.;130000000;0;130000000;0;0;0
82.508.433/0001-17;2021-03-31;1;CIA CATARINENSE DE AGUAS E SANEAM.-CASAN;399999993;399999997;799999990;0;0;0
82.508.433/0001-17;2021-06-30;2;CIA CATARINENSE DE AGUAS E SANEAM.-CASAN;399999993;399999997;799999990;0;0;0
82.508.433/0001-17;2021-09-30;1;CIA CATARINENSE DE AGUAS E SANEAM.-CASAN;399999993;399999997;799999990;0;0;0
82.636.986/0001-55;2021-03-31;1;TEKA-TECELAGEM KUEHNRICH S.A. - EM RECUPERAÇÃO JUDICIAL;168;335;503;0;0;0
82.636.986/0001-55;2021-06-30;1;TEKA-TECELAGEM KUEHNRICH S.A. - EM RECUPERAÇÃO JUDICIAL;168;335;503;0;0;0
82.636.986/0001-55;2021-09-30;1;TEKA-TECELAGEM KUEHNRICH S.A. - EM RECUPERAÇÃO JUDICIAL;168;335;503;0;0;0
82.640.558/0001-04;2021-03-31;1;KARSTEN S.A.;2878;3327;6205;0;0;0
82.640.558/0001-04;2021-06-30;1;KARSTEN S.A.;2878;3327;6205;0;0;0
82.640.558/0001-04;2021-09-30;1;KARSTEN S.A.;2878;3327;6205;0;0;0
82.643.537/0001-34;2021-03-31;1;ELECTRO ACO ALTONA S.A.;9750;12750;22500;0;0;0
82.643.537/0001-34;2021-06-30;2;ELECTRO ACO ALTONA S.A.;9750;12750;22500;0;0;0
82.643.537/0001-34;2021-09-30;2;ELECTRO ACO ALTONA S.A.;9750;12750;22500;0;0;0
82.901.000/0001-27;2021-03-31;1;INTELBRAS S.A. IND. DE TELECOMUNICAÇÃO ELETRÔNICA BRASILEIRA;327611110;0;327611110;0;0;0
82.901.000/0001-27;2021-06-30;1;INTELBRAS S.A. IND. DE TELECOMUNICAÇÃO ELETRÔNICA BRASILEIRA;327611110;0;327611110;0;0;0
82.901.000/0001-27;2021-09-30;2;INTELBRAS S.A. IND. DE TELECOMUNICAÇÃO ELETRÔNICA BRASILEIRA;327611110;0;327611110;0;0;0
82.981.929/0001-03;2021-03-31;1;CIA INDUSTRIAL SCHLOSSER S.A.;480;480;960;0;0;0
82.981.929/0001-03;2021-06-30;1;CIA INDUSTRIAL SCHLOSSER S.A.;480;480;960;0;0;0
82.981.929/0001-03;2021-09-30;1;CIA INDUSTRIAL SCHLOSSER S.A.;480;480;960;0;0;0
82.982.075/0001-80;2021-03-31;1;TEXTIL RENAUXVIEW S.A.;1456;2803;4259;0;0;0
82.982.075/0001-80;2021-06-30;1;TEXTIL RENAUXVIEW S.A.;1456;2803;4259;0;0;0
82.982.075/0001-80;2021-09-30;1;TEXTIL RENAUXVIEW S.A.;1456;2803;4259;0;0;0
83.475.913/0001-91;2021-03-31;1;PBG S/A;154529;0;154529;7000;0;7000
83.475.913/0001-91;2021-06-30;3;PBG S/A;147530;0;147530;71;0;71
83.475.913/0001-91;2021-09-30;1;PBG S/A;147529;0;147529;6543;0;6543
83.878.892/0001-55;2021-03-31;1;CENTRAIS ELET DE SANTA CATARINA S.A.;15527;23044;38571;0;0;0
83.878.892/0001-55;2021-06-30;1;CENTRAIS ELET DE SANTA CATARINA S.A.;15527;23044;38571;0;0;0
83.878.892/0001-55;2021-09-30;2;CENTRAIS ELET DE SANTA CATARINA S.A.;15527;23044;38571;0;0;0
84.429.695/0001-11;2021-03-31;1;WEG S.A.;2098658999;0;2098658999;693780;0;693780
84.429.695/0001-11;2021-06-30;1;WEG S.A.;4197317998;0;4197317998;1387560;0;1387560
84.429.695/0001-11;2021-09-30;1;WEG S.A.;4197317998;0;4197317998;1306348;0;1306348
